Tournament Name,Yardage,Par,Rating
Fortinet Championship,7123,72,74.8
Sanderson Farms Championship,7461,72,77
Shriners Children's Open,7255,71,74.7
ZOZO CHAMPIONSHIP,7079,70,70
THE CJ CUP in South Carolina,7655,71,79
Butterfield Bermuda Championship,6828,71,74.6
World Wide Technology Championship at Mayakoba,7034,71,70
Cadence Bank Houston Open,7412,70,74.2
The RSM Classic,7025,71,74.1
Hero World Challenge,7449,72,70
Sentry Tournament of Champions,7596,73,77
Sony Open in Hawaii,7044,70,74.5
The American Express,7131,72,75
Farmers Insurance Open,7500,72,76.4
AT&T Pebble Beach Pro-Am,6982,72,74.9
WM Phoenix Open,7261,71,74.7
The Genesis Invitational,7322,71,75.6
The Honda Classic,7140,70,75.4
Puerto Rico Open,7506,72,77.3
Arnold Palmer Invitational presented by Mastercard,7466,72,76.4
THE PLAYERS Championship,7275,72,76.8
Valspar Championship,7340,71,75.9
Corales Puntacana Championship,7670,72,76.9
Valero Texas Open,7438,72,76.3
Masters Tournament,7545,72,76.2
RBC Heritage,7213,71,75.6
Zurich Classis of New Orleans,7425,72,76.3
Mexico Open,7456,71,70
Wells Fargo Championship,7538,71,77.2
AT&T Byron Nelson,7414,71,76.5
Charles Schwab Challenge,7209,70,76.3
the Memorial Tournament presented by Workday,7571,72,77.3
RBC Canadian Open,7264,72,73
U.S. Open,7423,70,76
Travelers Championship,6841,70,73