Name,Lin Regression,Random Forest Class,Random Forest Regress,Gradien Boost Class,Gradien Boost Regress,SVC,SVR,LGBMClass,LGBMRegress,Linear Ave,Random Forest Ave,Gradien Boost Ave,SVM Ave,LGBM Ave,Total Ave
Rory McIlroy,63.73841227,67,68.42,73,67.00009739,73,71.50005319,73,70.66666667,63.73841227,67.71,70.0000487,72.2500266,71.83333333,69.10636418
Scottie Scheffler,69.4677457,70,68.95,67,69.11542405,68,68.09719142,68,68.53846154,69.4677457,69.475,68.05771202,68.04859571,68.26923077,68.66365684
Jon Rahm,73.90500329,65,67.11,65,65.02036005,65,65.10000504,65,67.88888889,73.90500329,66.055,65.01018002,65.05000252,66.44444444,67.29292606
Viktor Hovland,69.5621928,69,69.33,69,69.02228773,71,69.09957204,71,68.84615385,69.5621928,69.165,69.01114387,70.04978602,69.92307692,69.54223992
Tommy Fleetwood,64.3921784,68,68.96,73,68.05083424,68,70.00618799,68,69.88888889,64.3921784,68.48,70.52541712,69.00309399,68.94444444,68.26902679
Shane Lowry,65.20773237,69,69.18,69,68.99525888,68,69.99755386,68,70.88888889,65.20773237,69.09,68.99762944,68.99877693,69.44444444,68.34771664
Justin Thomas,66.72310561,69,69.87,72,69.00003246,72,70.00135208,68,70.22222222,66.72310561,69.435,70.50001623,71.00067604,69.11111111,69.3539818
Tyrrell Hatton,67.00359711,70,69.81,70,69.746682,70,70.09998224,70,70,67.00359711,69.905,69.873341,70.04999112,70,69.36638585
Xander Schauffele,70.64359066,69,69.13,69,69.8569567,72,68.50103848,72,69.7,70.64359066,69.065,69.42847835,70.25051924,70.85,70.04751765
Jordan Spieth,67.88223693,67,67.83,67,67.99045128,69,68.99999337,69,69.66666667,67.88223693,67.415,67.49522564,68.99999669,69.33333333,68.22515852
Max Homa,69.67642893,64,69.36,64,71.07954458,71,69.01176551,67,68.54545455,69.67642893,66.68,67.53977229,70.00588275,67.77272727,68.33496225
Matt Fitzpatrick,72.08651204,70,69.57,70,69.982763,70,69.89893346,70,69.22222222,72.08651204,69.785,69.9913815,69.94946673,69.61111111,70.28469428
Patrick Cantlay,68.36464883,68,68.25,68,67.90079165,68,69.00958102,68,69.33333333,68.36464883,68.125,67.95039582,68.50479051,68.66666667,68.32230037
Collin Morikawa,73.52093727,66,68.83,73,68.96149334,69,69.10220185,69,68.77777778,73.52093727,67.415,70.98074667,69.05110092,68.88888889,69.97133475